Language_Type,Toxic_Word_or_Phrase,Context_or_Example_Sentence,Category_of_Toxicity
Hybrid,bully doola lanja,You are a bully doola lanja,Harassment / Bullying
Hybrid,bloody chetta,I hate bloody chettas,Other
English,douchebag,douchebag bastard,Abusive / Insult
English,,Today is {day},Neutral
English,dox,I hate doxs,Harassment / Bullying
English,go to hell,This is go to hell shit,Harassment / Bullying
Hybrid,numpty picchi,I hate numpty picchis,Other
Telugu,gaadida,gaadida loser,Abusive / Insult
English,go to hell,go to hell bastard,Harassment / Bullying
English,motherfucker,This is motherfucker shit,Sexual / Obscene
Telugu,kutha,kutha kutha kutha laduthunnadhi,Sexual / Obscene
Telugu,vakshaalu vakshojaalu Yoni,nee yoni lo rasam vakshaalanu thaakuthundhi,Sexual / Obscene
Telugu,vedhava,vedhava loser,Other
Telugu,,Chala bagundi pani,Neutral
Telugu,gaadida,I hate gaadidas,Abusive / Insult
Telugu,lanja,You are a lanja,Sexual / Obscene
Telugu,gudda,What a gudda,Sexual / Obscene
Telugu,pichi lanja,You are a pichi lanja,Sexual / Obscene
Telugu,lanjakodaka,You are a lanjakodaka,Sexual / Obscene
Telugu,niyamma denga,I will niyamma denga you,Sexual / Obscene
Telugu,puku lo naa modda,Put puku lo naa modda,Sexual / Obscene
Telugu,sulli lanjakodaka,You sulli lanjakodaka,Sexual / Obscene
Telugu,davada denguthayi,They davada denguthayi,Sexual / Obscene
Telugu,gudhalo puku,In gudhalo puku,Sexual / Obscene
Telugu,sulli lanja na kodaka,You are sulli lanja na kodaka,Sexual / Obscene
Telugu,naa sulli chiku,Naa sulli chiku now,Sexual / Obscene
Telugu,vatakayalu denguthayi,Vatakayalu denguthayi you,Sexual / Obscene
Telugu,mogga,Ni moham mogga laga undi,Sexual / Obscene
Telugu,puvvu,You are a puvvu,Sexual / Obscene
Telugu,erri puvvu,Erri puvvu ra nuv,Sexual / Obscene
Telugu,chathanakondhaka,You chathanakondhaka,Sexual / Obscene
Telugu,mingey,Mingey this,Sexual / Obscene
Telugu,tengey,Tengey that,Sexual / Obscene
Telugu,kutha,You kutha,Sexual / Obscene
Telugu,saad,Saad person,Sexual / Obscene
Telugu,balisindhi,It balisindhi,Sexual / Obscene
Telugu,vattalu,Vattalu here,Sexual / Obscene
Telugu,vattakayalu,Vattakayalu there,Sexual / Obscene
Hybrid,dengu dengu,Anna suuper anna dengu dengu,Sexual / Obscene
Hybrid,pooku singari,Teeta pooku singari,Sexual / Obscene
Hybrid,gudda loki,Nee gudda loki doori,Sexual / Obscene
Hybrid,dengutane oo pori,Dengutane oo pori,Sexual / Obscene
Hybrid,gudda bangari,Barre gudda bangari,Sexual / Obscene
Hybrid,sandla chinnari,Meka sandla chinnari,Sexual / Obscene
Hybrid,pooku choopu,Pooku choopu oosari,Sexual / Obscene
Hybrid,emayindo sulli,Emayindo sulli,Sexual / Obscene
Hybrid,akka guddala sulli,Nee akka guddala sulli,Sexual / Obscene
Hybrid,aathullo naakinni,Nee aathullo naakinni aathuliste,Sexual / Obscene
Hybrid,sulli nuvvu cheekithe,Na sulli nuvvu cheekithe,Sexual / Obscene
Hybrid,lanja laaga,Lanja laaga chusukunta,Sexual / Obscene
Hybrid,langa lepi,Nee langa lepi dengutunta,Sexual / Obscene
Hybrid,pooke eppudo,Nee pooke eppudo ila,Sexual / Obscene
Hybrid,pandabetti dengadaniki,Pandabetti dengadaniki fuck,Sexual / Obscene
Telugu,,Nenu {subject} istapaduthunnanu,Neutral
Hybrid,sod pooku,You're such a sod pooku,Sexual / Obscene
Hybrid,idiot chavu,This is idiot chavu shit,Abusive / Insult
Hybrid,bugger erugu,I hate bugger erugus,Other
Telugu,,Nenu {place} ki vellanu,Neutral
Hybrid,get lost gudda dengu,Stop being a get lost gudda dengu,Harassment / Bullying
Hybrid,douchebag vedava,douchebag vedava loser,Abusive / Insult
Telugu,chetta,chetta bastard,Other
Hybrid,loser die chavugottu,I hate loser die chavugottus,Harassment / Bullying
Hybrid,xenophobe lanja munda,I hate xenophobe lanja mundas,Hate Speech
Telugu,,Poor performance,Neutral
Telugu,donga na kodaka,Go donga na kodaka yourself,Abusive / Insult
Hybrid,,The movie is {genre} type,Neutral
Telugu,gudda,What a gudda,Sexual / Obscene
English,cunt,This is cunt shit,Sexual / Obscene
English,islamophobe,You are a islamophobe,Hate Speech
English,die,Stop being a die,Harassment / Bullying
Hybrid,,I'm excited for upcoming {thing},Neutral
Hybrid,,Today is {day} day,Neutral
Telugu,,Nenu {activity} enjoy chestunnanu,Neutral
English,balls,Fucking balls,Other
English,pillock,You are a pillock,Other
English,pussy,Go pussy yourself,Sexual / Obscene
English,,I'm sad about the news,Neutral
Hybrid,shut up chavugottu,I hate shut up chavugottus,Harassment / Bullying
English,,I went to {place},Neutral
English,loser,Go loser yourself,Abusive / Insult
English,racist,You are a racist,Hate Speech
Telugu,,Aa {object} {color},Neutral
Telugu,erri pooka,You are a erri pooka,Sexual / Obscene
Telugu,munda,Fucking munda,Hate Speech
Hybrid,stalker geviri gaadida,stalker geviri gaadida loser,Harassment / Bullying
Hybrid,get lost nee amma dengu,Fucking get lost nee amma dengu,Harassment / Bullying
Hybrid,frig erugu,Go frig erugu yourself,Other
Telugu,yedava,Fucking yedava,Abusive / Insult
Hybrid,bigot kula gajji,bigot kula gajji bastard,Hate Speech
Hybrid,loser die moya,You're such a loser die moya,Harassment / Bullying
Hybrid,dox dongana kodaka,This is dox dongana kodaka shit,Harassment / Bullying
Hybrid,get lost chavu,What a get lost chavu,Harassment / Bullying
English,homophobe,What a homophobe,Hate Speech
Telugu,,Idi nirashaparachindi,Neutral
Hybrid,asshole yedava,You are a asshole yedava,Abusive / Insult
Hybrid,wank erri pooka,You're such a wank erri pooka,Sexual / Obscene
Hybrid,sexist lanja munda,sexist lanja munda loser,Hate Speech
Telugu,chavugottu,chavugottu bastard,Harassment / Bullying
Hybrid,go to hell vedhava,Fucking go to hell vedhava,Harassment / Bullying
Telugu,dongana kodaka,Stop being a dongana kodaka,Abusive / Insult
Hybrid,hell bosudi,hell bosudi loser,Other
Hybrid,,I saw a cow in park,Neutral
English,transphobe,You're such a transphobe,Hate Speech
Hybrid,git vedhava,This is git vedhava shit,Other
Hybrid,get lost chavugottu,I hate get lost chavugottus,Harassment / Bullying
English,sod,I hate sods,Sexual / Obscene
English,douchebag,Stop being a douchebag,Abusive / Insult
English,blowjob,Fucking blowjob,Sexual / Obscene
English,douchebag,Go douchebag yourself,Abusive / Insult
Hybrid,dox gudda dengu,dox gudda dengu loser,Harassment / Bullying
Telugu,,Cinema {genre},Neutral
Hybrid,balls vedhava,What a balls vedhava,Other
Hybrid, knob gudda,You are a  knob gudda,Sexual / Obscene
English,anti-semite,What a anti-semite,Hate Speech
Hybrid,troll chavugottu,You are a troll chavugottu,Harassment / Bullying
Hybrid,idiot chetta vedhava,I hate idiot chetta vedhavas,Abusive / Insult
Hybrid,damn chetta,damn chetta loser,Other
English,berk,You are a berk,Other
Telugu,picchi,You are a picchi,Other
Hybrid,prick nee amma dengu,Fucking prick nee amma dengu,Sexual / Obscene
Hybrid,stupid erri pooka,stupid erri pooka bastard,Abusive / Insult
English,harass,Fucking harass,Harassment / Bullying
English,moron,moron bastard,Abusive / Insult
English,get lost,Fucking get lost,Harassment / Bullying
Telugu,pichchi kukka,pichchi kukka loser,Hate Speech
Hybrid,muppet picchi,This is muppet picchi shit,Other
English,asshole,asshole loser,Abusive / Insult
English,sod,What a sod,Sexual / Obscene
English,bollocks,You are a bollocks,Sexual / Obscene
Hybrid,threat nee amma dengu,threat nee amma dengu loser,Harassment / Bullying
English,jerk,What a jerk,Abusive / Insult
English,bigot,Stop being a bigot,Hate Speech
English,dick,dick bastard,Sexual / Obscene
English,prick,Fucking prick,Abusive / Insult
Hybrid,fuck off chavu,fuck off chavu loser,Harassment / Bullying
English,shithead,This is shithead shit,Abusive / Insult
Hybrid,stalker chavugottu,I hate stalker chavugottus,Harassment / Bullying
Hybrid,dipshit puku,You are a dipshit puku,Abusive / Insult
Telugu,pichchi kukka,Go pichchi kukka yourself,Hate Speech
Hybrid,fuck dengu,You are a fuck dengu,Sexual / Obscene
Hybrid,berk erugu,Fucking berk erugu,Other
Hybrid,shut up chavugottu,You are a shut up chavugottu,Harassment / Bullying
Hybrid,,I love ee {subject},Neutral
Hybrid,bugger erugu,bugger erugu bastard,Other
Telugu,modda,modda loser,Sexual / Obscene
English,hater,You are a hater,Hate Speech
Telugu,yedava,yedava loser,Abusive / Insult
Hybrid,get lost moya,You are a get lost moya,Harassment / Bullying
Hybrid,hater chavugottu,What a hater chavugottu,Hate Speech
Hybrid,bellend addagadidha,What a bellend addagadidha,Abusive / Insult
Telugu,chetta,I hate chettas,Other
Telugu,pichoda,pichoda loser,Abusive / Insult
Hybrid,pussy erri pooka,pussy erri pooka loser,Sexual / Obscene
Telugu,dengu,I hate dengus,Sexual / Obscene
English,bollocks,Go bollocks yourself,Sexual / Obscene
Telugu,,Pustakam {topic} gurinchi,Neutral
Hybrid,frig picchi,Go frig picchi yourself,Other
Telugu,lanja,I hate lanjas,Sexual / Obscene
Telugu,gudda dengu,You're such a gudda dengu,Harassment / Bullying
Hybrid,cunt picchi,cunt picchi bastard,Sexual / Obscene
Hybrid,knob lanja,Stop being a knob lanja,Sexual / Obscene
English,go to hell,Fucking go to hell,Harassment / Bullying
Telugu,picchi,Stop being a picchi,Abusive / Insult
English,tosser,This is tosser shit,Other
Hybrid,die nee amma dengu,Go die nee amma dengu yourself,Harassment / Bullying
English,hell,You're such a hell,Other
Telugu,gudda dengu,This is gudda dengu shit,Harassment / Bullying
Hybrid,prick chavugottu,I hate prick chavugottus,Abusive / Insult
English,islamophobe,I hate islamophobes,Hate Speech
English,,That's unfortunate,Neutral
Hybrid,pillock chetta,Fucking pillock chetta,Other
Telugu,bosudi,What a bosudi,Abusive / Insult
English,dumbass,I hate dumbasss,Abusive / Insult
Hybrid,,I dislike doing {activity},Neutral
Hybrid,bollocks dengu,This is bollocks dengu shit,Sexual / Obscene
Telugu,picchi,Fucking picchi,Other
English,,I love {subject},Neutral
Telugu,nee amma dengu,What a nee amma dengu,Harassment / Bullying
Hybrid,dumbass yedava,What a dumbass yedava,Abusive / Insult
Hybrid,wanker chetta vedhava,Fucking wanker chetta vedhava,Abusive / Insult
English,,I'm excited for the book,Neutral
Hybrid,transphobe munda,transphobe munda bastard,Hate Speech
Telugu,pooku,What a pooku,Sexual / Obscene
Telugu,nee amma dengu,You're such a nee amma dengu,Harassment / Bullying
Telugu,,Nenu fruit tinnanu,Neutral
Telugu,chavu,You're such a chavu,Harassment / Bullying
Hybrid,plonker kula gajji,plonker kula gajji loser,Other
Hybrid,motherfucker bosudi,You are a motherfucker bosudi,Sexual / Obscene
Hybrid,twat nee amma dengu,What a twat nee amma dengu,Sexual / Obscene
Hybrid,pillock picchi,pillock picchi loser,Other
Telugu,erri pooka,This is erri pooka shit,Sexual / Obscene
English,damn,This is damn shit,Other
Telugu,,Nenu the update gurinchi badhaga unnanu,Neutral
Hybrid,git chetta,You are a git chetta,Other
Telugu,,Nenu oka {animal} chusanu,Neutral
Hybrid,loser gaadida,You're such a loser gaadida,Abusive / Insult
Telugu,geviri gaadida,I hate geviri gaadidas,Abusive / Insult
Telugu,vedava,vedava bastard,Abusive / Insult
Hybrid,shithead pandi vedhava,I hate shithead pandi vedhavas,Abusive / Insult
Telugu,,Nenu {event} gurinchi badhaga unnanu,Neutral
English,crap,What a crap,Other
Hybrid,hater moya,hater moya loser,Hate Speech
Hybrid,fuck off gudda dengu,Go fuck off gudda dengu yourself,Harassment / Bullying
English,threat,You are a threat,Harassment / Bullying
Hybrid,piss off chavugottu,You are a piss off chavugottu,Harassment / Bullying
Hybrid,,I enjoy this hiking chala,Neutral
Hybrid,bully chavugottu,I hate bully chavugottus,Harassment / Bullying
Hybrid,go to hell munda,What a go to hell munda,Harassment / Bullying
Hybrid,karen pichchi kukka,Go karen pichchi kukka yourself,Hate Speech
English,bellend,What a bellend,Sexual / Obscene
Telugu,pedda salladhi,What a pedda salladhi,Sexual / Obscene
Hybrid,prick yedava,I hate prick yedavas,Abusive / Insult
Hybrid,kill yourself lanja munda,You are a kill yourself lanja munda,Harassment / Bullying
English,shit,shit bastard,Sexual / Obscene
English,,I'm sad about the meeting,Neutral
Hybrid,bellend donga na kodaka,This is bellend donga na kodaka shit,Abusive / Insult
Telugu,moya,moya bastard,Harassment / Bullying
English,bugger,bugger loser,Sexual / Obscene
English,shag,I hate shags,Sexual / Obscene
Telugu,doola lanja,Go doola lanja yourself,Hate Speech
Hybrid,bugger picchi,Fucking bugger picchi,Other
Hybrid,knobhead munda,I hate knobhead mundas,Abusive / Insult
Hybrid,cyberbully chavu,Go cyberbully chavu yourself,Harassment / Bullying
Hybrid,douchebag cheththa vedhava,douchebag cheththa vedhava bastard,Abusive / Insult
Hybrid,fucker guddha naku,You are a fucker guddha naku,Sexual / Obscene
English,numpty,Stop being a numpty,Other
Telugu,chetta,chetta loser,Other
Hybrid,bigot dengu,Go bigot dengu yourself,Hate Speech
Hybrid,stalker moya,Go stalker moya yourself,Harassment / Bullying
Telugu,chavu,Stop being a chavu,Harassment / Bullying
English,,I'm worried about {thing},Neutral
Hybrid,damn chetta,Fucking damn chetta,Other
Hybrid,xenophobe pichchi kukka,xenophobe pichchi kukka loser,Hate Speech
English,dox,dox bastard,Harassment / Bullying
Hybrid,bigot kula gajji,This is bigot kula gajji shit,Hate Speech
Hybrid,twit vedhava,This is twit vedhava shit,Other
Hybrid,anti-semite munda,I hate anti-semite mundas,Hate Speech
Hybrid,sexist lanja munda,Stop being a sexist lanja munda,Hate Speech
English,bugger,I hate buggers,Other
Telugu,,Nenu oka fish chusanu,Neutral
English,,I appreciate the artist,Neutral
Hybrid,hater moya,You're such a hater moya,Hate Speech
English,motherfucker,You're such a motherfucker,Sexual / Obscene
Hybrid,plonker doola lanja,This is plonker doola lanja shit,Other
Telugu,adda gaadidha,What a adda gaadidha,Abusive / Insult
English,bugger,I hate buggers,Sexual / Obscene
Hybrid,twat erri pooka,What a twat erri pooka,Sexual / Obscene
Hybrid,bigot doola lanja,I hate bigot doola lanjas,Hate Speech
Telugu,kutha,kutha kutha kutha laduthunnadhi,Sexual / Obscene
Telugu,vakshaalu vakshojaalu Yoni,nee yoni lo rasam vakshaalanu thaakuthundhi,Sexual / Obscene
Hybrid,asshole picchi,You're such a asshole picchi,Abusive / Insult
English,muppet,You are a muppet,Other
English,xenophobe,Fucking xenophobe,Hate Speech
English,incel,I hate incels,Hate Speech
Hybrid,harass chavugottu,You're such a harass chavugottu,Harassment / Bullying
English,frig,You're such a frig,Other
Hybrid,racist munda,Fucking racist munda,Hate Speech
English,transphobe,This is transphobe shit,Hate Speech
Hybrid,xenophobe pichoda,I hate xenophobe pichodas,Hate Speech
Hybrid,piss off moya,You're such a piss off moya,Harassment / Bullying
Hybrid,bugger pichchi kukka,You are a bugger pichchi kukka,Other
Hybrid,stalker chavu,I hate stalker chavus,Harassment / Bullying
Telugu,yedava,This is yedava shit,Abusive / Insult
Hybrid,tosser chetta,Go tosser chetta yourself,Other
Hybrid,shit erugu,You're such a shit erugu,Sexual / Obscene
English,motherfucker,You are a motherfucker,Sexual / Obscene
Hybrid,crap nee amma dengu,You are a crap nee amma dengu,Other
English,hell,You are a hell,Other
Hybrid,dumbass geviri gaadida,Fucking dumbass geviri gaadida,Abusive / Insult
Hybrid,dox chavu,dox chavu bastard,Harassment / Bullying
English,,The sky is yellow,Neutral
English,prick,You're such a prick,Sexual / Obscene
Hybrid,cyberbully moya,You are a cyberbully moya,Harassment / Bullying
English,plonker,Go plonker yourself,Other
English,bellend,Fucking bellend,Abusive / Insult
Hybrid,,What a tough day ra,Neutral
Hybrid,misogynist nee amma dengu,Fucking misogynist nee amma dengu,Hate Speech
Hybrid,bully chavu,bully chavu loser,Harassment / Bullying
Hybrid,sexist gudda dengu,What a sexist gudda dengu,Hate Speech
Hybrid,berk erugu,You are a berk erugu,Other
English,sod,Stop being a sod,Other
Hybrid,threat bosudi,Stop being a threat bosudi,Harassment / Bullying
English,,The time is {time},Neutral
Telugu,chetta,You are a chetta,Other
Hybrid,karen chavugottu,You're such a karen chavugottu,Hate Speech
Hybrid,islamophobe doola lanja,I hate islamophobe doola lanjas,Hate Speech
Telugu,,Time {time},Neutral
Hybrid,douchebag chetta na kodaka,What a douchebag chetta na kodaka,Abusive / Insult
English,bugger,You're such a bugger,Other
English,sod,Stop being a sod,Sexual / Obscene
Hybrid,pillock chetta,Stop being a pillock chetta,Other
Hybrid,pussy doola lanja,I hate pussy doola lanjas,Sexual / Obscene
Telugu,,Nenu family istapaduthunnanu,Neutral
Hybrid,,I saw a {animal} in park,Neutral
English,kill yourself,I hate kill yourselfs,Harassment / Bullying
Hybrid,shithead adda gaadidha,shithead adda gaadidha bastard,Abusive / Insult
English,wanker,Stop being a wanker,Abusive / Insult
English,bugger,Stop being a bugger,Sexual / Obscene
Hybrid,dipshit gaadida,What a dipshit gaadida,Abusive / Insult
English,cunt,Fucking cunt,Sexual / Obscene
Hybrid,cock bosudi,Fucking cock bosudi,Sexual / Obscene
English,knobhead,What a knobhead,Abusive / Insult
Hybrid,moron pichoda,moron pichoda loser,Abusive / Insult
Hybrid,sexist doola lanja,You're such a sexist doola lanja,Hate Speech
English,harass,What a harass,Harassment / Bullying
Telugu,,Adi duradrushtam,Neutral
English,ass,ass bastard,Sexual / Obscene
Hybrid,,I dislike doing running,Neutral
Hybrid,cock modda,I hate cock moddas,Sexual / Obscene
English,misogynist,This is misogynist shit,Hate Speech
Telugu,,Adi adbhutam,Neutral
Telugu,lanja,Fucking lanja,Sexual / Obscene
Hybrid,bigot kula gajji,bigot kula gajji loser,Hate Speech
Hybrid,nazi vedhava,You are a nazi vedhava,Hate Speech
English,,I'm sad about {event},Neutral
Hybrid,hater lanja munda,This is hater lanja munda shit,Hate Speech
Telugu,lanja,What a lanja,Sexual / Obscene
Hybrid,wank erri pooka,This is wank erri pooka shit,Sexual / Obscene
Telugu,doola lanja,You are a doola lanja,Hate Speech
Hybrid,numpty vedhava,I hate numpty vedhavas,Other
Telugu,cheththa vedhava,What a cheththa vedhava,Abusive / Insult
English,pillock,This is pillock shit,Other
Hybrid,wanker addagadidha,Fucking wanker addagadidha,Abusive / Insult
English,shithead,I hate shitheads,Abusive / Insult
Hybrid,dox nee amma dengu,I hate dox nee amma dengus,Harassment / Bullying
English,tosser,I hate tossers,Other
English,bully,This is bully shit,Harassment / Bullying
Hybrid,douchebag geviri gaadida,You're such a douchebag geviri gaadida,Abusive / Insult
English,twat,You are a twat,Sexual / Obscene
Telugu,puku,puku loser,Sexual / Obscene
Telugu,chavu,This is chavu shit,Harassment / Bullying
English,karen,I hate karens,Hate Speech
Hybrid,sod pedda salladhi,You're such a sod pedda salladhi,Sexual / Obscene
Hybrid,bully moya,bully moya bastard,Harassment / Bullying
Telugu,gudda dengu,What a gudda dengu,Harassment / Bullying
Hybrid,nazi munda,What a nazi munda,Hate Speech
Telugu,chetta vedhava,You're such a chetta vedhava,Abusive / Insult
Hybrid,bellend moya,Go bellend moya yourself,Sexual / Obscene
Telugu,picchi,Stop being a picchi,Other
English,incel,You are a incel,Hate Speech
Telugu,guddha naku,Stop being a guddha naku,Sexual / Obscene
English,moron,I hate morons,Abusive / Insult
Hybrid,frig chetta,Go frig chetta yourself,Other
Hybrid,dipshit chetta na kodaka,What a dipshit chetta na kodaka,Abusive / Insult
English,supremacist,You are a supremacist,Hate Speech
Hybrid,cyberbully chavugottu,cyberbully chavugottu bastard,Harassment / Bullying
English,balls,This is balls shit,Other
Telugu,cheththa vedhava,You are a cheththa vedhava,Abusive / Insult
Hybrid,incel nee amma dengu,You're such a incel nee amma dengu,Hate Speech
Telugu,nee amma dengu,I hate nee amma dengus,Harassment / Bullying
English,nazi,Fucking nazi,Hate Speech
Telugu,pichchi kukka,I hate pichchi kukkas,Hate Speech
English,pillock,pillock bastard,Other
Hybrid,knobhead pichoda,Go knobhead pichoda yourself,Abusive / Insult
English,go to hell,You're such a go to hell,Harassment / Bullying
Hybrid,stupid kula gajji,You're such a stupid kula gajji,Abusive / Insult
Hybrid,knob vedhava,knob vedhava loser,Sexual / Obscene
Hybrid,anti-semite nee amma,This is anti-semite nee amma shit,Hate Speech
Hybrid,moron chavu,You are a moron chavu,Abusive / Insult
Hybrid,piss off chavugottu,Go piss off chavugottu yourself,Harassment / Bullying
Hybrid,dick picchi,This is dick picchi shit,Sexual / Obscene
Hybrid,piss puku,You are a piss puku,Other
English,twat,twat bastard,Sexual / Obscene
Telugu,chavugottu,What a chavugottu,Harassment / Bullying
Hybrid,go to hell nee amma dengu,You're such a go to hell nee amma dengu,Harassment / Bullying
Hybrid,,I ate {food} for lunch,Neutral
English,hater,What a hater,Hate Speech
Telugu,nee amma dengu,This is nee amma dengu shit,Harassment / Bullying
Telugu,munda,This is munda shit,Hate Speech
Hybrid,frig chetta,Stop being a frig chetta,Other
Telugu,lanja munda,You are a lanja munda,Hate Speech
Hybrid,,The {object} is {color} color,Neutral
Hybrid,tosser gudda,tosser gudda bastard,Other
Hybrid,tosser picchi,Fucking tosser picchi,Other
